diseases,actinic keratosis,acute bronchiolitis,acute bronchitis,acute bronchospasm,acute kidney injury,acute pancreatitis,acute sinusitis,allergy,angina,anxiety,appendicitis,arthritis of the hip,asthma,benign prostatic hyperplasia (bph),brachial neuritis,bursitis,carpal tunnel syndrome,cholecystitis,chronic back pain,chronic constipation,chronic obstructive pulmonary disease (copd),common cold,complex regional pain syndrome,concussion,conjunctivitis,conjunctivitis due to allergy,contact dermatitis,cornea infection,croup,cystitis,degenerative disc disease,dental caries,depression,developmental disability,diaper rash,diverticulitis,drug reaction,ear drum damage,eczema,esophagitis,eustachian tube dysfunction (ear disorder),fungal infection of the hair,gallstone,gastrointestinal hemorrhage,gout,gum disease,heart attack,heart failure,hemorrhoids,herniated disk,hiatal hernia,hyperemesis gravidarum,hypertensive heart disease,hypoglycemia,idiopathic excessive menstruation,idiopathic irregular menstrual cycle,idiopathic painful menstruation,infectious gastroenteritis,injury to the arm,injury to the leg,injury to the trunk,liver disease,macular degeneration,marijuana abuse,multiple sclerosis,noninfectious gastroenteritis,nose disorder,obstructive sleep apnea (osa),otitis externa (swimmer's ear),otitis media,pain after an operation,panic disorder,pelvic inflammatory disease,peripheral nerve disorder,personality disorder,pneumonia,problem during pregnancy,psoriasis,pyogenic skin infection,rectal disorder,schizophrenia,seasonal allergies (hay fever),sebaceous cyst,sepsis,sickle cell crisis,sinus bradycardia,skin pigmentation disorder,skin polyp,spinal stenosis,spondylosis,spontaneous abortion,sprain or strain,strep throat,stye,temporary or benign blood in urine,threatened pregnancy,urinary tract infection,vaginal cyst,vaginitis,vulvodynia
actinic keratosis,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
acute bronchiolitis,0,178,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acute bronchitis,0,3,130,3,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acute bronchospasm,0,1,2,76,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acute kidney injury,0,0,0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acute pancreatitis,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
acute sinusitis,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allergy,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
angina,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anxiety,0,0,1,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appendicitis,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
arthritis of the hip,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
